"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","OVERALL ","UPSIDE ","BUST ","ECR VS. ADP"
"130",10,"Cash Jones",ATL,"RB34","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-"
"131",10,"Mark Gronowski",MIA,"QB21","-1","Coach Overall rating","Coach Upside rating","Coach Bust rating","-"
"132",10,"Jordan Hudson",DAL,"WR52","-","Coach Overall rating","Coach Upside rating","Coach Bust rating","-15"
"133",10,"Bauer Sharp",TB,"TE26","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-1"
"134",10,"Hank Beatty",TEN,"WR53","-","Coach Overall rating","Coach Upside rating","Coach Bust rating","-37"
"135",10,"Joe Fagnano",BAL,"QB22","25","Coach Overall rating","Coach Upside rating","Coach Bust rating","-31"
"136",10,"Kentrel Bullock",CIN,"RB35","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-35"
"137",10,"DJ Rogers",DAL,"TE27","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-9"
"138",10,"Caullin Lacy",NYJ,"WR54","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-19"
"139",10,"Devonte Ross",LAC,"WR55","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-"
"140",10,"Lake McRee",PIT,"TE28","-","Coach Overall rating","Coach Upside rating","Coach Bust rating","-13"
"141",10,"Jalen Walthall",HOU,"WR56","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-"
"142",10,"Romello Brinson",FA,"WR57","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-29"
"143",10,"Malachi Coleman",FA,"WR58","-","Coach Overall rating","Coach Upside rating","Coach Bust rating","-"
"144",10,"Max Tomczak",BUF,"WR59","-","Coach Overall rating","Coach Upside rating","Coach Bust rating","-"
"145",10,"Lance Mason",SEA,"TE29","-","Coach Overall rating","Coach Upside rating","Coach Bust rating","-"
